id	z	HR	HR.95L	HR.95H	pvalue
GRAMD1A|49010|AT	3.45032329153232	248.954547250598	10.8392346372162	5717.96521351696	0.000559915592791517
TOP3B|61266|RI	-3.44565873297719	0.0325619165570054	0.00464202789187043	0.228408453064715	0.000569669285847043
SYT8|13859|RI	-3.34411435344012	0.0821950424312037	0.0190039378208928	0.355506583106153	0.000825457050110843
FXYD3|49036|AA	-3.21955490947715	0.119716769903676	0.032882488774365	0.435858279904377	0.00128389769606821
ACAA1|64017|AD	-3.21306965310419	0.112980102710235	0.0298769094170622	0.427236412917784	0.00131324437268457
CARD8|50706|AT	3.20797494483033	54.5562370738742	4.73905042885362	628.05472284893	0.00133673143392357
FAM214A|30696|AD	-3.13873949261417	0.0113213640989383	0.000689714585683911	0.18583525377187	0.00169676218285286
APBB3|73680|AD	-3.04371368693635	0.110243972314901	0.0266495827063155	0.456057176043077	0.00233677419245081
ADPRM|39284|AD	-2.93455427369885	0.0347992353392939	0.00369399613803387	0.327825675758317	0.00334027131226207
RPL22L1|67619|AA	-2.92316442344259	0.114142243160915	0.0266360574890863	0.489128380922877	0.00346493492071202
TRIM13|25921|RI	-2.90845578963523	0.0815875946371799	0.0150724632915148	0.441635548877279	0.00363218529153564
ULK3|31757|RI	-2.68635015191732	0.0703951613275849	0.0101556749410828	0.487951688793254	0.0072237342286102
IP6K2|64759|AD	-2.62250367874987	0.0405768338731001	0.00369960882742291	0.445041495998396	0.00872863254711581
KDM6B|39056|RI	-2.60109769983789	0.0318424056954715	0.00237137139612869	0.427574863275433	0.00929259852020559
RABGGTB|3514|ES	-2.52657447568775	0.0148808109849933	0.000568932324888974	0.389217708124265	0.0115180964293357
XAF1|38812|AA	-2.42833027215256	0.141029007328836	0.029019823173896	0.685365337651253	0.0151685230553984
RPS21|60075|AA	-2.37728973793241	0.175416418077088	0.0417677975126172	0.736713965386864	0.0174403829092853
UNC119|39915|RI	-2.35871496507555	0.00699204658728482	0.000113132556858834	0.432136573557375	0.0183383352139669
RELL2|73812|RI	-2.32501969301231	0.162249980162687	0.0350251251517083	0.751604910725304	0.0200709072069831
ST6GAL2|54866|AT	2.31144346219321	4.24427856775334	1.24584563290168	14.4591754266815	0.0208083726458817
ENTPD5|28354|AT	-2.3014164527588	0.00497485806912732	5.43602368857933e-05	0.455281548164652	0.0213681028241035
GPX3|74123|ES	2.29465959695057	4.77597627959523	1.25616587124472	18.1583897042627	0.0217526399547292
ST6GAL2|54867|AT	-2.27132379389474	0.239386806830735	0.0697132307572399	0.822025355332772	0.023127383864524
SRSF6|59434|ES	-2.26344564441519	0.0972639237099821	0.0129299989377818	0.731652871820279	0.0236082317345495
RPL28|52096|AT	-2.25530478085767	0.0398996072027242	0.00242742464193997	0.655830309796718	0.0241142047547003
FAM73B|87818|AD	-2.2482702348193	0.150377580017839	0.0288323379196981	0.784307420196139	0.0245589634994275
C19orf82|47381|ES	2.22849076637061	5.01001371465228	1.21430726497418	20.6704169076496	0.0258478063983098
IL11RA|86209|AP	-2.20759401560104	0.238072722607397	0.0665786440095109	0.851303328460726	0.0272725866892021
TMEM145|50151|AT	2.20189284460238	5.22279599723977	1.1991631021483	22.7471959234869	0.0276728785571782
NBPF11|7339|RI	-2.2014489539739	0.164892738791604	0.0331337875781197	0.820600881866915	0.0277042566354344
NPDC1|88260|AP	-2.18939521526086	0.157655164322327	0.0301640888857232	0.823998063779207	0.0285681271279851
CNKSR1|1236|RI	-2.18878260923226	0.0363735244717973	0.00187080460040303	0.707200143839399	0.0286126443269965
ZNF670|10510|ES	2.1635297796072	3.12566270273883	1.11318908161353	8.77637725042328	0.0305004558327232
DDX19A|37382|ES	-2.16262715836801	0.0570523219526617	0.0042569467816484	0.764624884253252	0.0305698676797225
ALS2CL|64461|RI	-2.15828543540578	0.14807967822723	0.0261344154213439	0.839031244830211	0.0309056463981329
BCAR3|3796|AP	2.15201413870252	6.09431716637881	1.17502828527248	31.6083469563515	0.0313962408096117
COX7C|72714|RI	-2.1140230775285	0.256891084982061	0.0728639163939174	0.905702476744299	0.0345132963103312
FXYD3|49023|AP	2.10596342650121	8.83542719235929	1.16305113640624	67.1206718499907	0.0352075293988558
AGO1|1734|AP	-2.06738611698602	0.316618140177246	0.106420165096949	0.941992963438586	0.0386977853673865
TMEM134|17233|AA	-2.03785877279917	0.0140981796378972	0.000233922596761257	0.849677080599755	0.0415640586378045
AKIP1|14280|RI	2.03554150233313	16.3295667225542	1.10926797532084	240.388035424192	0.0417964170071475
TCEA2|60186|AP	-2.02468625288719	0.295414675829797	0.0907387102886215	0.96177067558087	0.0428995911153317
GLB1|63827|AP	-1.97815027389535	0.0213749013722016	0.000473328227157203	0.965263389034276	0.0479117564928409
